'a',0.0817,,a
'b',0.0149,,b
'c',0.0220,,c
'd',0.0425,,d
'e',0.1270,,e
'f',0.0223,,f
'g',0.0202,,g
'h',0.0609,,h
'i',0.0697,,i
'j',0.0015,,j
'k',0.0129,,k
'l',0.0403,,l
'm',0.0241,,m
'n',0.0675,,n
'o',0.0751,,o
'p',0.0193,,p
'q',0.0010,,q
'r',0.0599,,r
's',0.0633,,s
't',0.0936,,t
'u',0.0276,,u
'v',0.0098,,v
'w',0.0256,,w
'x',0.0015,,x
'y',0.0199,,y
'z',0.0008,,z
